subject,pdf_page,content_page,wusan_chapter,wusan_section,renjiao_book,renjiao_chapter,locator
CHEMISTRY,0059,57,第六章 化学键 分子和晶体的结构与性质,微专题 2 晶胞结构分析与计算,选择性必修2 物质结构与性质,第三章 晶体结构与性质,第六章 化学键 分子和晶体的结构与性质 / 微专题 2 晶胞结构分析与计算
CHEMISTRY,0060,58,第六章 化学键 分子和晶体的结构与性质,微专题 2 晶胞结构分析与计算（续）,选择性必修2 物质结构与性质,第三章 晶体结构与性质,第六章 化学键 分子和晶体的结构与性质 / 微专题 2 晶胞结构分析与计算（续）
CHEMISTRY,0061,59,第六章 化学键 分子和晶体的结构与性质,微专题 2 晶胞结构分析与计算（续）,选择性必修2 物质结构与性质,第三章 晶体结构与性质,第六章 化学键 分子和晶体的结构与性质 / 微专题 2 晶胞结构分析与计算（续）
CHEMISTRY,0062,60,第七章 化学反应的热效应,第 1 节 化学反应中的能量变化 / 知识清单,选择性必修1 化学反应原理,第一章 化学反应的热效应,第七章 化学反应的热效应 / 第 1 节 化学反应中的能量变化 / 知识清单
CHEMISTRY,0063,61,第七章 化学反应的热效应,第 1 节 化学反应中的能量变化 / 中和反应反应热的测定（续）；即练即清,选择性必修1 化学反应原理,第一章 化学反应的热效应,第七章 化学反应的热效应 / 第 1 节 化学反应中的能量变化 / 中和反应反应热的测定（续）；即练即清
CHEMISTRY,0064,62,第七章 化学反应的热效应,第 2 节 热化学方程式 盖斯定律 / 知识清单,选择性必修1 化学反应原理,第一章 化学反应的热效应,第七章 化学反应的热效应 / 第 2 节 热化学方程式 盖斯定律 / 知识清单
CHEMISTRY,0065,63,第七章 化学反应的热效应,第 2 节 热化学方程式 盖斯定律 / 计算反应热的常用方法（续）；反应热大小的比较,选择性必修1 化学反应原理,第一章 化学反应的热效应,第七章 化学反应的热效应 / 第 2 节 热化学方程式 盖斯定律 / 计算反应热的常用方法（续）；反应热大小的比较
CHEMISTRY,0066,64,第七章 化学反应的热效应,考法突破 8 反应历程图像分析,选择性必修1 化学反应原理,第一章 化学反应的热效应,第七章 化学反应的热效应 / 考法突破 8 反应历程图像分析
CHEMISTRY,0067,65,第七章 化学反应的热效应,考法突破 8 反应历程图像分析 / 循环图式,选择性必修1 化学反应原理,第一章 化学反应的热效应,第七章 化学反应的热效应 / 考法突破 8 反应历程图像分析 / 循环图式
CHEMISTRY,0068,66,第八章 化学反应与电能,第 1 节 原电池原理及其应用 / 知识清单,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 第 1 节 原电池原理及其应用 / 知识清单
CHEMISTRY,0069,67,第八章 化学反应与电能,第 1 节 原电池原理及其应用 / 燃料电池（续）；原电池原理的应用,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 第 1 节 原电池原理及其应用 / 燃料电池（续）；原电池原理的应用
CHEMISTRY,0070,68,第八章 化学反应与电能,第 2 节 电解原理及其应用 / 知识清单,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 第 2 节 电解原理及其应用 / 知识清单
CHEMISTRY,0071,69,第八章 化学反应与电能,第 2 节 电解原理及其应用 / 电解原理的应用,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 第 2 节 电解原理及其应用 / 电解原理的应用
CHEMISTRY,0072,70,第八章 化学反应与电能,第 3 节 金属的腐蚀与防护 / 知识清单,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 第 3 节 金属的腐蚀与防护 / 知识清单
CHEMISTRY,0073,71,第八章 化学反应与电能,考法突破 9 电极反应式的书写,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 考法突破 9 电极反应式的书写
CHEMISTRY,0074,72,第八章 化学反应与电能,考法突破 9 电极反应式的书写 / 二次电池与电解池电极反应式的书写,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 考法突破 9 电极反应式的书写 / 二次电池与电解池电极反应式的书写
CHEMISTRY,0075,73,第八章 化学反应与电能,考法突破 10 新型电化学装置分析及相关计算,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 考法突破 10 新型电化学装置分析及相关计算
CHEMISTRY,0076,74,第八章 化学反应与电能,考法突破 10 新型电化学装置分析及相关计算 / 常见新型电化学装置,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 考法突破 10 新型电化学装置分析及相关计算 / 常见新型电化学装置
CHEMISTRY,0077,,无（本页为教辅插页广告，不属于正文）,,不适用,,无（本页为教辅插页广告，不属于正文）
CHEMISTRY,0078,75,第八章 化学反应与电能,考法突破 10 新型电化学装置分析及相关计算 / 浓差电池（续）；电化学计算,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 考法突破 10 新型电化学装置分析及相关计算 / 浓差电池（续）；电化学计算
CHEMISTRY,0079,76,第八章 化学反应与电能,考法突破 10 新型电化学装置分析及相关计算 / 相关计算（续）,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 考法突破 10 新型电化学装置分析及相关计算 / 相关计算（续）
CHEMISTRY,0080,77,第八章 化学反应与电能,考法突破 11 离子交换膜在电化学中的应用,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 考法突破 11 离子交换膜在电化学中的应用
CHEMISTRY,0081,78,第八章 化学反应与电能,考法突破 11 离子交换膜在电化学中的应用 / 即练即清,选择性必修1 化学反应原理,第四章 化学反应与电能,第八章 化学反应与电能 / 考法突破 11 离子交换膜在电化学中的应用 / 即练即清
CHEMISTRY,0082,79,第九章 化学反应速率与化学平衡,第 1 节 化学反应速率 / 知识清单,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第 1 节 化学反应速率 / 知识清单
CHEMISTRY,0083,80,第九章 化学反应速率与化学平衡,第 2 节 化学平衡 / 知识清单,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第 2 节 化学平衡 / 知识清单
CHEMISTRY,0084,81,第九章 化学反应速率与化学平衡,第 2 节 化学平衡 / 改变条件对平衡的影响；等效平衡,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第 2 节 化学平衡 / 改变条件对平衡的影响；等效平衡
CHEMISTRY,0085,82,"等效平衡与化学平衡转化率分析（承接""等效平衡""考点）",转化率分析,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,"等效平衡与化学平衡转化率分析（承接""等效平衡""考点） / 转化率分析"
CHEMISTRY,0086,83,第九章 化学反应速率与化学平衡,第3节 化学平衡常数及其相关计算 / 化学平衡常数·知识清单,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第3节 化学平衡常数及其相关计算 / 化学平衡常数·知识清单
CHEMISTRY,0087,84,第九章 化学反应速率与化学平衡,第3节 化学平衡常数及其相关计算 / 考法突破12 分压平衡常数的计算,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第3节 化学平衡常数及其相关计算 / 考法突破12 分压平衡常数的计算
CHEMISTRY,0088,85,第九章 化学反应速率与化学平衡,第3节 化学平衡常数及其相关计算 / 考法突破12 分压平衡常数的计算（变式训练）,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第3节 化学平衡常数及其相关计算 / 考法突破12 分压平衡常数的计算（变式训练）
CHEMISTRY,0089,86,第九章 化学反应速率与化学平衡,第3节 化学平衡常数及其相关计算 / 考法突破13 反应速率常数的应用,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第3节 化学平衡常数及其相关计算 / 考法突破13 反应速率常数的应用
CHEMISTRY,0090,87,第九章 化学反应速率与化学平衡,第3节 考法突破13（续）→ 第4节 化学反应的方向与调控 / 知识清单,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第3节 考法突破13（续）→ 第4节 化学反应的方向与调控 / 知识清单
CHEMISTRY,0091,88,第九章 化学反应速率与化学平衡,第4节 化学反应的方向与调控 / 化学反应的调控,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第4节 化学反应的方向与调控 / 化学反应的调控
CHEMISTRY,0092,89,第九章 化学反应速率与化学平衡,第4节 化学反应的方向与调控 / 考法突破14 反应速率和平衡图像分析,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第4节 化学反应的方向与调控 / 考法突破14 反应速率和平衡图像分析
CHEMISTRY,0093,90,第九章 化学反应速率与化学平衡,第4节 化学反应的方向与调控 / 考法突破14 反应速率和平衡图像分析,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第4节 化学反应的方向与调控 / 考法突破14 反应速率和平衡图像分析
CHEMISTRY,0094,91,第九章 化学反应速率与化学平衡,第4节 化学反应的方向与调控 / 考法突破14 反应速率和平衡图像分析（即练即清）,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 第4节 化学反应的方向与调控 / 考法突破14 反应速率和平衡图像分析（即练即清）
CHEMISTRY,0095,92,第九章 化学反应速率与化学平衡,微专题3 化工生产中多重平衡体系分析,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 微专题3 化工生产中多重平衡体系分析
CHEMISTRY,0096,93,第九章 化学反应速率与化学平衡,微专题3 化工生产中多重平衡体系分析（续）,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 微专题3 化工生产中多重平衡体系分析（续）
CHEMISTRY,0097,94,第九章 化学反应速率与化学平衡,微专题3 化工生产中多重平衡体系分析（变式训练）,选择性必修1 化学反应原理,第二章 化学反应速率与化学平衡,第九章 化学反应速率与化学平衡 / 微专题3 化工生产中多重平衡体系分析（变式训练）
CHEMISTRY,0098,95,第十章 水溶液中的离子反应与平衡,第1节 弱电解质的电离平衡 / 知识清单,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第1节 弱电解质的电离平衡 / 知识清单
CHEMISTRY,0099,96,第十章 水溶液中的离子反应与平衡,第1节 弱电解质的电离平衡 / 电离平衡常数的应用·强酸与弱酸的比较,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第1节 弱电解质的电离平衡 / 电离平衡常数的应用·强酸与弱酸的比较
CHEMISTRY,0100,97,第十章 水溶液中的离子反应与平衡,第1节（续）→ 第2节 溶液的酸碱性 酸碱中和滴定 / 水的电离,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第1节（续）→ 第2节 溶液的酸碱性 酸碱中和滴定 / 水的电离
CHEMISTRY,0101,98,第十章 水溶液中的离子反应与平衡,第2节 溶液的酸碱性 酸碱中和滴定 / 溶液的酸碱性·pH计算·酸碱中和滴定,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第2节 溶液的酸碱性 酸碱中和滴定 / 溶液的酸碱性·pH计算·酸碱中和滴定
CHEMISTRY,0102,99,第十章 水溶液中的离子反应与平衡,第2节 溶液的酸碱性 酸碱中和滴定 / 滴定误差分析与滴定曲线,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第2节 溶液的酸碱性 酸碱中和滴定 / 滴定误差分析与滴定曲线
CHEMISTRY,0103,100,第十章 水溶液中的离子反应与平衡,第3节 盐类的水解 / 知识清单,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第3节 盐类的水解 / 知识清单
CHEMISTRY,0104,101,第十章 水溶液中的离子反应与平衡,第3节 盐类的水解 / 水解常数与盐类水解的应用,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第3节 盐类的水解 / 水解常数与盐类水解的应用
CHEMISTRY,0105,102,第十章 水溶液中的离子反应与平衡,第3节（续）→ 第4节 沉淀溶解平衡 / 知识清单,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第3节（续）→ 第4节 沉淀溶解平衡 / 知识清单
CHEMISTRY,0106,103,第十章 水溶液中的离子反应与平衡,第4节 沉淀溶解平衡 / 沉淀溶解平衡的应用,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第4节 沉淀溶解平衡 / 沉淀溶解平衡的应用
CHEMISTRY,0107,104,第十章 水溶液中的离子反应与平衡,第4节（续）→ 考法突破15 溶液中微粒浓度关系判断,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 第4节（续）→ 考法突破15 溶液中微粒浓度关系判断
CHEMISTRY,0108,105,第十章 水溶液中的离子反应与平衡,考法突破15 溶液中微粒浓度关系判断 / 方法技巧与解题模型,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 考法突破15 溶液中微粒浓度关系判断 / 方法技巧与解题模型
CHEMISTRY,0109,106,第十章 水溶液中的离子反应与平衡,微专题4 溶液中离子平衡图像分析,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 微专题4 溶液中离子平衡图像分析
CHEMISTRY,0110,107,第十章 水溶液中的离子反应与平衡,微专题4 溶液中离子平衡图像分析（续）,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 微专题4 溶液中离子平衡图像分析（续）
CHEMISTRY,0111,108,第十章 水溶液中的离子反应与平衡,微专题4 溶液中离子平衡图像分析（续）,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 微专题4 溶液中离子平衡图像分析（续）
CHEMISTRY,0112,109,第十章 水溶液中的离子反应与平衡,微专题4 溶液中离子平衡图像分析（即练即清）,选择性必修1 化学反应原理,第三章 水溶液中的离子反应与平衡,第十章 水溶液中的离子反应与平衡 / 微专题4 溶液中离子平衡图像分析（即练即清）
CHEMISTRY,0113,110,第十一章 有机物的结构 烃和烃的衍生物,第1节 有机物的结构特点 / 知识清单（一、有机物的分类；二、有机物的命名）,选择性必修3 有机化学基础,第二章 烃,第十一章 有机物的结构 烃和烃的衍生物 / 第1节 有机物的结构特点 / 知识清单（一、有机物的分类；二、有机物的命名）
CHEMISTRY,0114,111,第十一章 有机物的结构 烃和烃的衍生物,第1节 有机物的结构特点 / 知识清单（二、有机物的命名（续）；三、有机物组成和结构的确定）,选择性必修3 有机化学基础,第二章 烃,第十一章 有机物的结构 烃和烃的衍生物 / 第1节 有机物的结构特点 / 知识清单（二、有机物的命名（续）；三、有机物组成和结构的确定）
CHEMISTRY,0115,112,第十一章 有机物的结构 烃和烃的衍生物,第1节 有机物的结构特点 / 知识清单（三、有机物组成和结构的确定（续）；四、同系物和同分异构体；五、有机反应基本类型）,选择性必修3 有机化学基础,第二章 烃,第十一章 有机物的结构 烃和烃的衍生物 / 第1节 有机物的结构特点 / 知识清单（三、有机物组成和结构的确定（续）；四、同系物和同分异构体；五、有机反应基本类型）
CHEMISTRY,0116,113,第十一章 有机物的结构 烃和烃的衍生物,第1节 即练即清；第2节 烃和卤代烃 / 知识清单（一、脂肪烃）,选择性必修3 有机化学基础,第二章 烃,第十一章 有机物的结构 烃和烃的衍生物 / 第1节 即练即清；第2节 烃和卤代烃 / 知识清单（一、脂肪烃）
CHEMISTRY,0117,114,第十一章 有机物的结构 烃和烃的衍生物,第2节 烃和卤代烃 / 知识清单（一、脂肪烃（续）；二、芳香烃；三、煤和石油的利用；四、卤代烃）,选择性必修3 有机化学基础,第二章 烃,第十一章 有机物的结构 烃和烃的衍生物 / 第2节 烃和卤代烃 / 知识清单（一、脂肪烃（续）；二、芳香烃；三、煤和石油的利用；四、卤代烃）
CHEMISTRY,0118,115,第十一章 有机物的结构 烃和烃的衍生物,第2节 烃和卤代烃 / 知识清单（四、卤代烃（续））与即练即清；第3节 醇和酚,选择性必修3 有机化学基础,第三章 烃的衍生物,第十一章 有机物的结构 烃和烃的衍生物 / 第2节 烃和卤代烃 / 知识清单（四、卤代烃（续））与即练即清；第3节 醇和酚 / 知识清单（一、醇）
CHEMISTRY,0119,116,第十一章 有机物的结构 烃和烃的衍生物,第3节 醇和酚 / 知识清单（一、醇（续）；二、酚）,选择性必修3 有机化学基础,第三章 烃的衍生物,第十一章 有机物的结构 烃和烃的衍生物 / 第3节 醇和酚 / 知识清单（一、醇（续）；二、酚）
CHEMISTRY,0120,117,第十一章 有机物的结构 烃和烃的衍生物,第3节 醇和酚 即练即清；第4节 醛和酮 羧酸及其衍生物 / 知识清单（一、醛和酮）,选择性必修3 有机化学基础,第三章 烃的衍生物,第十一章 有机物的结构 烃和烃的衍生物 / 第3节 醇和酚 即练即清；第4节 醛和酮 羧酸及其衍生物 / 知识清单（一、醛和酮）
CHEMISTRY,0121,118,第十一章 有机物的结构 烃和烃的衍生物,第4节 醛和酮 羧酸及其衍生物 / 知识清单（一、醛和酮（续）；二、羧酸；三、羧酸衍生物）,选择性必修3 有机化学基础,第三章 烃的衍生物,第十一章 有机物的结构 烃和烃的衍生物 / 第4节 醛和酮 羧酸及其衍生物 / 知识清单（一、醛和酮（续）；二、羧酸；三、羧酸衍生物）
CHEMISTRY,0122,119,第十一章 有机物的结构 烃和烃的衍生物,第4节 醛和酮 羧酸及其衍生物 / 知识清单（三、羧酸衍生物（续））与即练即清,选择性必修3 有机化学基础,第三章 烃的衍生物,第十一章 有机物的结构 烃和烃的衍生物 / 第4节 醛和酮 羧酸及其衍生物 / 知识清单（三、羧酸衍生物（续））与即练即清
CHEMISTRY,0123,120,第十一章 有机物的结构 烃和烃的衍生物,考法突破 16 有机物分子中原子共线、共面问题,选择性必修3 有机化学基础,第二章 烃,第十一章 有机物的结构 烃和烃的衍生物 / 考法突破 16 有机物分子中原子共线、共面问题
CHEMISTRY,0124,121,第十一章 有机物的结构 烃和烃的衍生物,考法突破 17 同分异构体的判断与书写,选择性必修3 有机化学基础,第一章 认识有机化合物,第十一章 有机物的结构 烃和烃的衍生物 / 考法突破 17 同分异构体的判断与书写
CHEMISTRY,0125,122,第十一章 有机物的结构 烃和烃的衍生物,考法突破 17 同分异构体的判断与书写 / 即练即清,选择性必修3 有机化学基础,第一章 认识有机化合物,第十一章 有机物的结构 烃和烃的衍生物 / 考法突破 17 同分异构体的判断与书写 / 即练即清
CHEMISTRY,0126,123,第十二章 生命活动的物质基础 有机合成,第1节 生命活动的物质基础 / 知识清单（一、糖类）,选择性必修3 有机化学基础,第四章 生物大分子,第十二章 生命活动的物质基础 有机合成 / 第1节 生命活动的物质基础 / 知识清单（一、糖类）
CHEMISTRY,0127,124,第十二章 生命活动的物质基础 有机合成,第1节 生命活动的物质基础 / 知识清单（二、油脂；三、蛋白质）,选择性必修3 有机化学基础,第四章 生物大分子,第十二章 生命活动的物质基础 有机合成 / 第1节 生命活动的物质基础 / 知识清单（二、油脂；三、蛋白质）
CHEMISTRY,0128,125,第十二章 生命活动的物质基础 有机合成,第1节 生命活动的物质基础 / 知识清单（三、蛋白质（续）四、核酸）与即练即清；第2节 合成高分子,选择性必修3 有机化学基础 第四章 生物大分子、,第五章 合成高分子,第十二章 生命活动的物质基础 有机合成 / 第1节 生命活动的物质基础 / 知识清单（三、蛋白质（续）四、核酸）与即练即清；第2节 合成高分子 / 知识清单（一、合成高分子的两个基本反应）
CHEMISTRY,0129,126,第十二章 生命活动的物质基础 有机合成,第2节 合成高分子 / 知识清单（一、合成高分子的两个基本反应（续）；二、根据高分子的结构推断单体的方法；三、高分子材料）,选择性必修3 有机化学基础,第五章 合成高分子,第十二章 生命活动的物质基础 有机合成 / 第2节 合成高分子 / 知识清单（一、合成高分子的两个基本反应（续）；二、根据高分子的结构推断单体的方法；三、高分子材料）
CHEMISTRY,0130,127,第十二章 生命活动的物质基础 有机合成,第2节 合成高分子 / 知识清单（三、高分子材料（续））,选择性必修3 有机化学基础,第五章 合成高分子,第十二章 生命活动的物质基础 有机合成 / 第2节 合成高分子 / 知识清单（三、高分子材料（续））
CHEMISTRY,0131,128,第十二章 生命活动的物质基础 有机合成,第2节 合成高分子 即练即清；第3节 有机合成 / 知识清单（一、有机合成常用方法）,选择性必修3 有机化学基础 第三章 烃的衍生物、,第五章 合成高分子,第十二章 生命活动的物质基础 有机合成 / 第2节 合成高分子 即练即清；第3节 有机合成 / 知识清单（一、有机合成常用方法）
CHEMISTRY,0132,129,第十二章 生命活动的物质基础 有机合成,第3节 有机合成 / 知识清单（一、有机合成常用方法（续））,选择性必修3 有机化学基础,第三章 烃的衍生物,第十二章 生命活动的物质基础 有机合成 / 第3节 有机合成 / 知识清单（一、有机合成常用方法（续））
CHEMISTRY,0133,130,有机化学基础,有机合成 / 官能团衍变与合成路线设计,选择性必修3 有机化学基础,第三章 烃的衍生物（有机合成）,有机化学基础 / 有机合成 / 官能团衍变与合成路线设计
CHEMISTRY,0134,131,第十二章 生命活动的物质基础　有机合成,微专题5 有机合成与推断题解题策略,选择性必修3 有机化学基础,第三章 烃的衍生物（有机合成）,第十二章 生命活动的物质基础　有机合成 / 微专题5 有机合成与推断题解题策略
CHEMISTRY,0135,132,第十二章 生命活动的物质基础　有机合成,微专题5 有机合成与推断题解题策略（续）,选择性必修3 有机化学基础,第三章 烃的衍生物（有机合成）,第十二章 生命活动的物质基础　有机合成 / 微专题5 有机合成与推断题解题策略（续）
CHEMISTRY,0136,133,第十二章 生命活动的物质基础　有机合成,微专题5 有机合成与推断题解题策略 / 常见新型有机反应,选择性必修3 有机化学基础,第三章 烃的衍生物（有机合成）,第十二章 生命活动的物质基础　有机合成 / 微专题5 有机合成与推断题解题策略 / 常见新型有机反应
CHEMISTRY,0137,134,第十二章 生命活动的物质基础　有机合成,微专题5 有机合成与推断题解题策略（即练即清·变式）,选择性必修3 有机化学基础,第三章 烃的衍生物（有机合成）,第十二章 生命活动的物质基础　有机合成 / 微专题5 有机合成与推断题解题策略（即练即清·变式）
CHEMISTRY,0138,135,第十三章 化学实验基本方法,第1节 常见仪器的使用和实验基本操作 / 知识清单,必修 化学实验基础（常见仪器与基本操作）,,第十三章 化学实验基本方法 / 第1节 常见仪器的使用和实验基本操作 / 知识清单
CHEMISTRY,0139,136,第十三章 化学实验基本方法,第1节 常见仪器的使用和实验基本操作 / 其他常用仪器与试剂保存,必修 化学实验基础（常见仪器与基本操作）,,第十三章 化学实验基本方法 / 第1节 常见仪器的使用和实验基本操作 / 其他常用仪器与试剂保存
CHEMISTRY,0140,137,第十三章 化学实验基本方法,第1节 常见仪器的使用和实验基本操作 / 化学实验基本操作与安全措施,必修 化学实验基础（基本操作与实验安全）,,第十三章 化学实验基本方法 / 第1节 常见仪器的使用和实验基本操作 / 化学实验基本操作与安全措施
CHEMISTRY,0141,138,第十三章 化学实验基本方法,"第1节 化学实验基础 / 三、化学实验安全措施（1.实验室""五防""措施 续表；2.实验常见事故的处理）＋ 即练即清",必修第一册,"第一章 物质及其变化 及全册""实验活动""栏目（化学实验基本方法与实验安全）","第十三章 化学实验基本方法 / 第1节 化学实验基础 / 三、化学实验安全措施（1.实验室""五防""措施 续表；2.实验常见事故的处理）＋ 即练即清"
CHEMISTRY,0142,139,第十三章 化学实验基本方法,第1节 化学实验基础（即练即清第 5、6 题）＋ 第2节 物质的检验和鉴别 / 知识清单,必修第一册 第二章 海水中的重要元素——钠和氯；必修第二册,第五章 化工生产中的重要非金属元素；选择性必修3 有机化学基础（乙烯的检验）,第十三章 化学实验基本方法 / 第1节 化学实验基础（即练即清第 5、6 题）＋ 第2节 物质的检验和鉴别 / 知识清单
CHEMISTRY,0143,140,第十三章 化学实验基本方法,第2节 物质的检验和鉴别 / 知识清单（5.常见气体的检验 续表；注意：气体检验中干扰因素的排除；6.常见离子的检验）＋ 归纳总结 ＋ 即练即清,必修第一册 第二章 海水中的重要元素——钠和氯；必修第一册 第三章 铁 金属材料；必修第二册,第五章 化工生产中的重要非金属元素,第十三章 化学实验基本方法 / 第2节 物质的检验和鉴别 / 知识清单（5.常见气体的检验 续表；注意：气体检验中干扰因素的排除；6.常见离子的检验）＋ 归纳总结 ＋ 即练即清
CHEMISTRY,0144,141,第十三章 化学实验基本方法,第2节 物质的检验和鉴别（即练即清第 2~4 题）＋ 第3节 物质的分离和提纯 / 知识清单,必修第一册 第一章 物质及其变化（过滤、蒸发等分离提纯基本操作）；必修第二册,第五章 化工生产中的重要非金属元素；选择性必修3 有机化学基础（萃取、分液）,第十三章 化学实验基本方法 / 第2节 物质的检验和鉴别（即练即清第 2~4 题）＋ 第3节 物质的分离和提纯 / 知识清单
CHEMISTRY,0145,142,第十三章 化学实验基本方法,第3节 物质的分离和提纯 / 知识清单（3.物质分离与提纯的方法 续表；4.物质分离与提纯的常见类型）,必修第一册 第一章 物质及其变化；必修第二册,第五章 化工生产中的重要非金属元素；选择性必修3 有机化学基础（蒸馏、萃取、重结晶）,第十三章 化学实验基本方法 / 第3节 物质的分离和提纯 / 知识清单（3.物质分离与提纯的方法 续表；4.物质分离与提纯的常见类型）
CHEMISTRY,0146,143,第十三章 化学实验基本方法,第3节 物质的分离和提纯 / 即练即清,必修第一册,第一章 物质及其变化；选择性必修3 有机化学基础（萃取、蒸馏、重结晶）,第十三章 化学实验基本方法 / 第3节 物质的分离和提纯 / 即练即清
CHEMISTRY,0147,144,第十四章 实验方案的设计与评价,第1节 制备实验方案的设计与评价 / 知识清单,必修第一册 第二章 海水中的重要元素——钠和氯（氯气的实验室制法）；必修第二册,第五章 化工生产中的重要非金属元素（氨、硝酸、硫酸的工业制备）；选择性必修3 有机化学基础（乙烯的制备）,第十四章 实验方案的设计与评价 / 第1节 制备实验方案的设计与评价 / 知识清单
CHEMISTRY,0148,145,第十四章 实验方案的设计与评价,第1节 制备实验方案的设计与评价 / 知识清单（三、气体制备综合分析 续表：3.净化方法～6.尾气处理）＋ 即练即清,必修第一册 第二章 海水中的重要元素——钠和氯（氯气的实验室制法与净化）；必修第二册,第五章 化工生产中的重要非金属元素（硫、氮及其化合物）；选择性必修3 有机化学基础（乙烯、乙炔的制备）,第十四章 实验方案的设计与评价 / 第1节 制备实验方案的设计与评价 / 知识清单（三、气体制备综合分析 续表：3.净化方法～6.尾气处理）＋ 即练即清
CHEMISTRY,0149,146,第十四章 实验方案的设计与评价,第1节 制备实验方案的设计与评价（即练即清第 3、4 题）＋ 第2节 探究实验方案的设计与评价 / 知识清单,必修第一册 第二章 海水中的重要元素——钠和氯；必修第二册,第五章 化工生产中的重要非金属元素,第十四章 实验方案的设计与评价 / 第1节 制备实验方案的设计与评价（即练即清第 3、4 题）＋ 第2节 探究实验方案的设计与评价 / 知识清单
CHEMISTRY,0150,147,第十四章 实验方案的设计与评价,第2节 探究实验方案的设计与评价 / 即练即清,必修第一册 第二章 海水中的重要元素——钠和氯；必修第一册 第三章 铁 金属材料；必修第二册,第五章 化工生产中的重要非金属元素,第十四章 实验方案的设计与评价 / 第2节 探究实验方案的设计与评价 / 即练即清
