material_slug,point_slug,subject,reason
phys-hj-013-friction-kinetic-to-static,摩擦力的突变类问题,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj-014-friction-kinetic-to-kinetic,摩擦力的突变类问题,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj-176-xt-graph-meaning,x-t图像-v-t图像-a-t图像的对比,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj-177-vt-graph-meaning,x-t图像-v-t图像-a-t图像的对比,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj-178-at-graph-meaning,x-t图像-v-t图像-a-t图像的对比,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj2-zizhuan-kelue-yu-buneng-kelue,万有引力定律的应用,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj2-yuedian-puxian-tiaoshu,氢原子能级跃迁与数学思想的结合,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj2-xiaochuan-duhe-moxing,运动的合成与分解,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj2-huakuai-xiequ-mian-moxing,模型解读-x2,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj2-huakuai-muban-moxing-jiefa,滑块-木板模型的临界问题,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj2-pianzhuan-daping-yanshangxian,带电粒子在匀强电场中偏转的两个分运动,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj2-pingpao-shiyan-pinshan-paizhao,平抛运动,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-hj3-xt-vt-image-compare,x-t图像-v-t图像-a-t图像的对比,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-fx-chase-catch-once-conclusion,追及问题的常见类型,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-fx-boat-crossing-river-model,运动的合成与分解,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-fx-satellite-orbit-planes,卫星发射速度和宇宙速度与运动轨迹的关系,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-fx-incline-projectile-two-decompositions,核心处理思想-运动的合成与分解,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-mo-l05-three-nature-forces-b,力的基础概念-重力-弹力-摩擦力,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-mo-l26-collision-models-b-3,滑块-小球-弹簧模型,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
phys-mo-l26-collision-models-b-4,模型解读-x2,PHYSICS,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
chem-image-analysis-five-steps,常规图像解题分析,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
chem-preparation-five-property-control,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-hj-lvshui-pingheng-yidong,化学平衡移动的分析方法,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
chem-hj-jiajian-shumu-changkao,共价键,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
chem-hj-rongzhi-teshu-jiejing-shui,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-hj-zhi-ranshao-dingliang-guilv,烃类的燃烧规律,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
chem-hj-ertang-zhe-tang-duibi,糖类的结构和性质,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
chem-hj-ji-zhong-shui-suhua-duizhao,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-hj-didinglei-xingtui-zonghe,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-hj-fenbu-chendian-guilv,沉淀溶解平衡的应用,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
chem-hj-weixing-liucheng-wulei-kaocha,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-hj-chuzha-siyuanze-sanbixu,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-hj2-zhongliang-diding-fenxi-fa,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-fx-ci-lin-suan-shi-yi-yuan-zhong-qiang-su-f07x18,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-fx-chan-wu-de-chu-li-f08x14,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-fx-chang-wen-xia-f48x07,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-fx-jie-da-ci-lei-ti-mu-zhu-yi-san-ge-guan-f51x11,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-fx-shi-zai-f54x15,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-fx-zhua-zhu-guan-jian-ci-yu-f76x17,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
chem-fx-zhong-zuo-f80x10,,CHEMISTRY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-formula-actual-o2-production,辨析真正光合速率-净光合速率和呼吸速率,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-formula-actual-co2-consumption,辨析真正光合速率-净光合速率和呼吸速率,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-selfing-each-generation-formula,分离定律的概率计算-含自交与自由交配,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb-vesicle-transport-principle,分泌蛋白的合成和运输,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb-enzyme-chemical-nature,酶的本质,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb-storage-conditions-fruits-vs-seeds,细胞呼吸原理的应用,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb-dna-replication-quantity-calculation,dna的复制,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb-epigenetics-concept-and-features,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-kb-epigenetics-types-detail,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-kb-lamarck-evolution-theory,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-kb-brain-parts-and-functions,人脑的高级功能,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb-nerve-regulation-misjudgments,神经调节的结构基础,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb2-07-transport-modes-compare,物质出入细胞的方式-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fj-07-transport-modes-comparison,物质出入细胞的方式-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fj-07-transport-mistakes,物质出入细胞的方式-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fj-12-interphase-features,细胞周期,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fj-20-replication-mistakes,dna的复制,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fj-21-epigenetics-types,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-fj-23-lamarck-theory,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-fj-23-species-concept,物种的形成,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fj-20-base-pair-rule-4-at-over-gc,dna的结构及特点,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fj-05-communication-via-chemicals,信息传递,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fj-17-sex-ratio-in-x-recessive,伴性遗传,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f1-s1-1-n09,种群的数量特征,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f1-s1-1-n10,种群的数量特征,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f2-s2-3-n12,细胞中的脂质,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f2-s2-3-n13,细胞中的脂质,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f2-s2-3-n14,细胞中的脂质,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f2-s2-4-n04,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-kb3-f2-s2-4-n05,脱水缩合,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f5-s5-2-n01,atp的结构,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f5-s5-2-n03,atp的结构,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f5-s5-2-n04,atp的结构,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f5-s5-2-n08,atp的合成和利用,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f5-s5-2-n11,atp的结构,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f5-s5-4-3-n03,光合作用的原理,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f5-s5-4-3-n08,辨析真正光合速率-净光合速率和呼吸速率,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f5-s5-4-3-n09,辨析真正光合速率-净光合速率和呼吸速率,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f2-s2-3-n16,细胞中的脂质,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f2-s2-5-n03,dna的结构及特点,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s39-n01,影响酶促反应的因素分析,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s39-n02,影响酶促反应的因素分析,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s39-n03,影响酶促反应的因素分析,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s39-n04,影响酶促反应的因素分析,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s40-n01,atp的结构,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s40-n02,atp的结构,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s40-n03,atp的结构,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s41-n06,atp的合成和利用,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s41-n07,atp的合成和利用,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s41-n10,atp的合成和利用,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s41-n11,atp的合成和利用,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-kb3-f4-s41-n12,atp的合成和利用,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-cop-kdel-retrieval,分泌蛋白的合成和运输,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-glucose-transport-cases,物质出入细胞的方式-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-info-molecule-types,信息传递,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-transport-material-cases,物质出入细胞的方式-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-transport-curve-models,物质出入细胞的方式-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-mcq-biotech-pitfalls,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-fx-media-components,微生物的培养,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-ferroptosis-features,细胞的死亡,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-pcr-third-cycle-specific,pcr技术,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-nested-pcr,pcr技术,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-dna-repair-three-types,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-fx-cam-adaptive-meaning,c4植物-cam植物等特殊代谢类型,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-fx-photorespiration-benefit,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-fx-nitrogen-source-function,微生物的培养,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-fermentation-041,发酵工程,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-fermentation-042,发酵工程,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-heredity-030,自交和自由交配的概率计算,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-019,实验-检测生物组织中的糖类-脂肪和蛋白质-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-020,实验-检测生物组织中的糖类-脂肪和蛋白质-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-031,细胞中的水-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-032,细胞中的水-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-040,细胞中的脂质,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-050,氨基酸,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-057,氨基酸,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-061,核苷酸,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-engineering-005,植物组织培养,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-engineering-016,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-cell-engineering-017,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-hormone-009,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-nerve-046,体温调节,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-nerve-047,水和无机盐平衡的调节,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-nerve-049,体温调节,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-nerve-052,体温调节,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-nerve-053,体温调节,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-nerve-057,水和无机盐平衡的调节,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-genetic-engineering-002,肺炎链球菌转化实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-genetic-engineering-003,基因工程,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-genetic-engineering-005,基因工程,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-genetic-engineering-008,基因工程,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-genetic-engineering-012,pcr技术,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-genetic-engineering-013,pcr技术,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-genetic-engineering-015,基因工程,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-029,肺炎链球菌转化实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-030,噬菌体侵染细菌实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-031,噬菌体侵染细菌实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-032,噬菌体侵染细菌实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-036,噬菌体侵染细菌实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-038,肺炎链球菌转化实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-039,肺炎链球菌转化实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-040,肺炎链球菌转化实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-041,肺炎链球菌转化实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-042,噬菌体侵染细菌实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-044,噬菌体侵染细菌实验,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-049,dna的结构及特点,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-051,dna的结构及特点,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-052,dna的结构及特点,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-053,dna的结构及特点,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-055,dna的复制,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-056,dna的复制,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-059,dna的复制,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-060,dna的复制,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-061,dna的复制,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-062,dna的复制,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-068,dna的结构及特点,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-ecosystem-009,能量流动,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-ecosystem-010,能量流动,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-ecosystem-017,物质循环,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-ecosystem-019,生物富集,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-ecosystem-021,物质循环,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-ecosystem-024,信息传递,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-ecosystem-025,信息传递,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-ecosystem-027,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-ecosystem-031,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-ecosystem-040,反馈调节,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-environment-001,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-environment-002,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-environment-003,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-environment-004,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-environment-006,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-immunity-017,免疫系统的组成和功能,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-069,核苷酸,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-070,核苷酸,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-089,dna的复制,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-121,多倍体,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-123,单倍体,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-gene-128,单倍体,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-plant-hormone-003,生长素,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-plant-hormone-010,其他植物激素,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-plant-hormone-011,生长素的两重性,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-plant-hormone-012,生长素的极性运输,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-135,酶的本质,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-136,酶的特性,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-138,影响酶促反应的因素分析,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-140,酶在代谢中的作用,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-143,影响酶促反应的因素分析,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-146,影响酶促反应的因素分析,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-162,实验-探究酵母菌细胞呼吸的方式-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-167,无氧呼吸,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-168,无氧呼吸,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-170,实验-探究酵母菌细胞呼吸的方式-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-171,无氧呼吸,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-178,细胞呼吸原理的应用,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-183,捕获光能的色素和结构,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-185,影响光合作用强度的环境因素,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-191,影响光合作用强度的环境因素,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-192,影响光合作用强度的环境因素,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-193,影响光合作用强度的环境因素,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-002,生物有共同祖先的证据,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-003,生物有共同祖先的证据,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-005,,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，且无正确归属，改为不导入
bio-mo-evolution-020,基因频率,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-022,基因频率,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-025,物种的形成,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-026,物种的形成,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-027,基因频率,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-032,物种的形成,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-034,自交和自由交配的概率计算,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-evolution-035,伴性遗传,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-195,实验-观察根尖分生区组织细胞的有丝分裂,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-197,实验-观察根尖分生区组织细胞的有丝分裂,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-198,实验-观察根尖分生区组织细胞的有丝分裂,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-204,实验-观察根尖分生区组织细胞的有丝分裂,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-205,实验-观察根尖分生区组织细胞的有丝分裂,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-207,实验-观察根尖分生区组织细胞的有丝分裂,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-228,实验-检测生物组织中的糖类-脂肪和蛋白质-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
bio-mo-cell-229,实验-检测生物组织中的糖类-脂肪和蛋白质-x1,BIOLOGY,逐条读正文判定：原绑与材料所讲不是一回事，改指本节点
