# PHYSICS 节点表（slug | 名字）：1099 个
玻尔原子模型的三条假设 | .玻尔原子模型的三条假设
方向-总是竖直向下-竖直向下是和水平面垂直-不一定和接触面垂直-也不一定指向地心 | 重力的方向
重心 | 重心
量纲法 | 量纲法
闭合电路欧姆定律 | 闭合电路欧姆定律
阻尼振动 | 阻尼振动
阿伏加德罗常数 | 阿伏加德罗常数
降维法处理三维空间平衡 | 降维法处理三维空间平衡
需要平衡摩擦力-为了使绳子拉力即合力 | 需要平衡摩擦力（为了使绳子拉力即合力）
霍尔元件 | 霍尔元件
静摩擦-滑动摩擦-大小突减 | 静摩擦 → 滑动摩擦 (大小突减)：
静摩擦力 | 静摩擦力
静摩擦力与滑动摩擦力的比较 | 静摩擦力与滑动摩擦力的比较
静摩擦力有无及方向的判断方法 | 静摩擦力有无及方向的判断方法
静电力做功 | 静电力做功
静电场的基本概念和规律 | 静电场的基本概念和规律
静电场的应用 | 静电场的应用
静电屏蔽的应用 | 静电屏蔽的应用
静电平衡状态的特征 | 静电平衡状态的特征
非匀强磁场中带电粒子运动的分析 | 非匀强磁场中带电粒子运动的分析
非常规运动图像 | 非常规运动图像
非常规运动学图像 | 非常规运动学图像
非弹性碰撞 | 非弹性碰撞
非弹性碰撞和完全非弹性碰撞 | 非弹性碰撞和完全非弹性碰撞
非惯性参考系 | 非惯性参考系
非质点类物体的机械能守恒 | 非质点类物体的机械能守恒
额定功率和实际功率 | 额定功率和实际功率
饱和汽 | 饱和汽
验证力的平行四边形定则实验 | 验证力的平行四边形定则实验
验证机械能守恒定律 | 验证机械能守恒定律
验证机械能守恒定律实验 | 验证机械能守恒定律实验
验证机械能守恒定律实验的创新方向 | 验证机械能守恒定律实验的创新方向
验证机械能守恒定律实验的误差与创新方案 | 验证机械能守恒定律实验的误差与创新方案
验证机械能守恒定律的创新实验 | 验证机械能守恒定律的创新实验
黄金代换 | 黄金代换
黄金代换式 | 黄金代换式
黑体辐射-黑体虽然不反射电磁波-却可以向外辐射电磁波 | 黑体辐射
黑洞 | 黑洞
