# CHEMISTRY 节点表（slug | 名字）：1202 个
4-溴甲基-1-环己烯的一种合成路线如下 | 4-溴甲基-1-环己烯的一种合成路线如下：
范德华力 | 范德华力
药品取用 | 药品取用
菠菜常用作补铁食品之一-为探究其中铁元素的价态-现进行如下实验 | 菠菜常用作补铁食品之一
萃取 | 萃取
蒸发 | 蒸发
蒸馏 | 蒸馏
蛋白质 | 蛋白质
蛋白质和氨基酸的结构与性质 | 蛋白质和氨基酸的结构与性质
蛋白质的结构与性质 | 蛋白质的结构与性质
装置气密性检查 | 装置气密性检查
装置气密性检查方法 | 装置气密性检查方法
装置气密性检查的方法 | 装置气密性检查的方法
装置气密性的检查方法 | 装置气密性的检查方法
规避两个易失分点 | 规避两个易失分点
解沉淀溶解平衡图像题的三步骤 | 解沉淀溶解平衡图像题的三步骤
解答有机合成及推断题的常用方法 | 解答有机合成及推断题的常用方法
认识外界因素对化学反应速率影响的误区 | 认识外界因素对化学反应速率影响的误区
设计制备纯硅的实验题中重要的知识点 | 设计制备纯硅的实验题中重要的知识点
设计和制作一个氢氧燃料电池 | 设计和制作一个氢氧燃料电池。
试剂的保存方法 | 试剂的保存方法
试纸的使用方法 | 试纸的使用方法
试纸的类型与使用方法 | 试纸的类型与使用方法
误将溶液体积看作1l | 误将溶液体积看作1L
误差分析 | 误差分析
误差分析的方法 | 误差分析的方法
调节pH分离提纯金属离子 | 调节pH分离提纯金属离子
超分子 | 超分子
足量的铝分别与等物质的量的hcl和naoh反应 | 足量的铝分别与等物质的量的HCl和NaOH反应：
转化率 | 转化率
过二硫酸钠 | 过二硫酸钠
过氧化氢 | 过氧化氢
过氧化氢的性质 | 过氧化氢的性质
过氧化物的过氧键与化合价分析 | 过氧化物的过氧键与化合价分析
过氧化钠 | 过氧化钠
na22 | 过氧化钠的强氧化性与还原性
过氧化钠的性质与探究 | 过氧化钠的性质与探究
过渡态理论 | 过渡态理论
过渡晶体与混合型晶体 | 过渡晶体与混合型晶体
过渡金属的多价态与氧化性规律 | 过渡金属的多价态与氧化性规律
过滤 | 过滤
还原剂 | 还原剂
连续型离子方程式的书写-分类分析法 | 连续型离子方程式的书写(分类分析法)：
速率-时间图像 | 速率-时间图像
速率-温度(压强)图像 | 速率-温度(压强)图像
速率—压强(或温度)图像 | 速率—压强(或温度)图像
速率常数和速率方程 | 速率常数和速率方程
配位化合物 | 配位化合物
配位键 | 配位键
配位键和配合物 | 配位键和配合物
配制一定物质的量浓度溶液的仪器与容量瓶使用 | 配制一定物质的量浓度溶液的仪器与容量瓶使用
配合物 | 配合物
配平步骤 | 配平步骤
配平氧化还原反应方程式的三个-基本原则 | 配平氧化还原反应方程式的三个“基本原则”
配比型离子方程式的书写-少定多变法 | 配比型离子方程式的书写(少定多变法)：
酚 | 酚
酚的概念和物理性质 | 酚的概念和物理性质
酚的结构和性质 | 酚的结构和性质
酮 | 酮
酯 | 酯
酯化反应 | 酯化反应
酯化反应实验探究 | 酯化反应实验探究
酯和油脂的结构和性质 | 酯和油脂的结构和性质
酰胺 | 酰胺
酸-碱稀释时的两个误区 | 酸、碱稀释时的两个误区
酸或碱溶液中水电离程度的计算 | 酸或碱溶液中水电离程度的计算
酸碱中和滴定 | 酸碱中和滴定
酸碱中和滴定-八-个提醒 | 酸碱中和滴定“八”个提醒
酸碱中和滴定指示剂的选择 | 酸碱中和滴定指示剂的选择
酸碱中和滴定的关键 | 酸碱中和滴定的关键
酸雨 | 酸雨
醇 | 醇
醇和酚的结构和性质易混易错点 | 醇和酚的结构和性质易混易错点
醇的化学性质 | 醇的化学性质
醇的概念及分类 | 醇的概念及分类
醇的结构和性质 | 醇的结构和性质
醚的结构与性质 | 醚的结构与性质
醛 | 醛
醛-酮在有机合成中的应用 | 醛、酮在有机合成中的应用
醛-酮的化学性质 | 醛、酮的化学性质
醛-酮的概念 | 醛、酮的概念
醛和酮的结构和性质 | 醛和酮的结构和性质
醛和酮的结构和性质易混易错点 | 醛和酮的结构和性质易混易错点
醛的应用和对环境-健康产生的影响 | 醛的应用和对环境、健康产生的影响
已知两个醛分子在naoh溶液作用下可以发生加成反应-生成一种羟基醛 | 醛的羟醛缩合
重结晶 | 重结晶
重铬酸盐的强氧化性 | 重铬酸盐的强氧化性
量气分析法 | 量气分析法
金属与硝酸反应计算的四种方法 | 金属与硝酸反应计算的四种方法
金属冶炼 | 金属冶炼
金属及其化合物的制备 | 金属及其化合物的制备
金属导电和电解质溶液导电的对比 | 金属导电和电解质溶液导电的对比
金属晶体 | 金属晶体
金属晶体的空间利用率 | 金属晶体的空间利用率
金属材料 | 金属材料
金属材料和金属的冶炼易错点 | 金属材料和金属的冶炼易错点
金属氢化物 | 金属氢化物
金属电化学腐蚀规律 | 金属电化学腐蚀规律
金属的冶炼-金属矿物的开发利用 | 金属的冶炼 金属矿物的开发利用
金属的腐蚀 | 金属的腐蚀
金属的防护 | 金属的防护
金属矿物的开发利用 | 金属矿物的开发利用
金属腐蚀的本质 | 金属腐蚀的本质
金属腐蚀的类型 | 金属腐蚀的类型
金属钠露置在空气中的变化过程 | 金属钠露置在空气中的变化过程
钒及其重要化合物的性质 | 钒及其重要化合物的性质
钠 | 钠
金属钠与二氧化碳反应的实验步骤及现象如下表 | 钠与二氧化碳的反应
钠与含羟基或羧基有机物的反应 | 钠与含羟基或羧基有机物的反应
钠与水及酸-碱-盐溶液的反应 | 钠与水及酸、碱、盐溶液的反应
化学性质 | 钠及其化合物的化学性质
钠和钠的氧化物易错知识点 | 钠和钠的氧化物易错知识点
钠的制取及保存 | 钠的制取及保存
钠的用途 | 钠的用途
钴及其化合物的性质 | 钴及其化合物的性质
铁 | 铁
铁-铁的氧化物和氢氧化物的易错点 | 铁、铁的氧化物和氢氧化物的易错点
铁与水蒸气反应的注意事项 | 铁与水蒸气反应的注意事项
铁粉与硫粉在空气中混合燃烧时-可能发生哪些反应 | 铁与硫的反应
铁及其化合物的转化 | 铁及其化合物的转化
铁及其化合物的转化关系 | 铁及其化合物的转化关系
铁的制备和性质 | 铁的制备和性质
铁的化学性质 | 铁的化学性质
铁的原子结构和存在 | 铁的原子结构和存在
铁的氢氧化物 | 铁的氢氧化物
铁的氢氧化物的稳定性 | 铁的氢氧化物的稳定性
铁的氧化物 | 铁的氧化物
铁的氧化物组成的确定 | 铁的氧化物组成的确定
铁的物理性质 | 铁的物理性质
铁盐 | 铁盐
铁盐和亚铁盐的性质和检验易错点 | 铁盐和亚铁盐的性质和检验易错点
铁盐的性质及应用 | 铁盐的性质及应用
铜及其化合物的性质 | 铜及其化合物的性质
铜及其化合物的易错点 | 铜及其化合物的易错点
铜的冶炼 | 铜的冶炼
铜盐 | 铜盐
铝与酸-碱反应生成h2的定量关系 | 铝与酸、碱反应生成H2的定量关系
铝元素的原子结构和存在 | 铝元素的原子结构和存在
铝及其化合物之间的性质与应用 | 铝及其化合物之间的性质与应用
铝及其化合物的易错点 | 铝及其化合物的易错点
铝土矿提纯的酸溶法 | 铝土矿提纯的酸溶法
铝热反应 | 铝热反应
铝的制备和用途 | 铝的制备和用途
铝的化学性质 | 铝的化学性质
铝的物理性质 | 铝的物理性质
铝盐与碱反应的图像分析 | 铝盐与碱反应的图像分析
铬及其重要化合物的性质 | 铬及其重要化合物的性质
铵盐 | 铵盐
铵盐及nh的检验 | 铵盐及NH的检验
手机-电脑的锂电池是一次电池还是二次电池 | 锂电池与新型电源
锂电池与锂离子电池 | 锂电池与锂离子电池
键参数 | 键参数
键参数及其应用 | 键参数及其应用
键的极性与羧酸酸性 | 键的极性与羧酸酸性
键的极性和分子的极性 | 键的极性和分子的极性
键的极性对化学性质的影响 | 键的极性对化学性质的影响
键的极性对羧酸酸性的影响 | 键的极性对羧酸酸性的影响
有机物的结构可用键线式表示-如 | 键线式
键能 | 键能
键角大小的比较 | 键角大小的比较
锰及其化合物的性质 | 锰及其化合物的性质
锰酸盐与高锰酸钾的氧化性规律 | 锰酸盐与高锰酸钾的氧化性规律
镁及其化合物的难点释疑 | 镁及其化合物的难点释疑
镁的化学性质 | 镁的化学性质
镁的重要化合物 | 镁的重要化合物
实验室闻cl2及其他气体的方法是怎样的 | 闻气体的方法
防倒吸装置 | 防倒吸装置
阴、阳极的判断方法 | 阴、阳极的判断方法
阿伏伽德罗常及其应用-七大误区 | 阿伏伽德罗常及其应用“七大误区”
阿伏加德罗定律及其推论 | 阿伏加德罗定律及其推论
阿伏加德罗定律的应用 | 阿伏加德罗定律的应用
阿伏加德罗常数 | 阿伏加德罗常数
阿伏加德罗常数-10大-陷阱 | 阿伏加德罗常数“10大”陷阱
阿伦尼乌斯公式 | 阿伦尼乌斯公式
陌生化学方程式书写的思路 | 陌生化学方程式书写的思路
陌生化学方程式的书写方法 | 陌生化学方程式的书写方法
陌生情景下化学方程式书写技巧 | 陌生情景下化学方程式书写技巧
限定条件下同分异构体的书写步骤 | 限定条件下同分异构体的书写步骤
在实验操作②中为什么依次加入的试剂都要略微过量-实验操作④中加入盐酸的目的是什么 | 除杂原则与试剂作用分析
写出除去下列气体中混有的杂质-括号内为杂质-可采取的方法 | 除杂的试剂选择与操作方法
陶瓷 | 陶瓷
隐含的限制条件-有机物分子的不饱和度-ω | 隐含的限制条件——有机物分子的不饱和度(Ω)
非电解质 | 非电解质
顺反异构与对映异构的判断 | 顺反异构与对映异构的判断
食品的保护与食品袋中的干燥剂 | 食品的保护与食品袋中的干燥剂
饱和一元醛-酮的通式 | 饱和一元醛、酮的通式
验证计算过程-比例关系 | 验证计算过程（比例关系）
高分子的分类及性质特点 | 高分子的分类及性质特点
高考化学“不一定”易错清单 | 高考化学“不一定”易错清单
高考化学“考前必知的关键”清单 | 高考化学“考前必知的关键”清单
高铁酸盐的制备与性质 | 高铁酸盐的制备与性质
一种2-甲基色酮内酯-y-可通过下列反应合成 | 黄鸣龙还原法
